Latitude,Longitude
37.399,-122.028
37.399,-122.027
37.398,-122.025
37.396,-122.017
37.396,-122.013
37.396,-122.013
37.395,-122.009
37.394,-122.007
37.394,-122.005
37.392,-122.000
37.392,-121.998
37.391,-121.994
37.390,-121.991
37.389,-121.990
37.389,-121.989
37.388,-121.985
37.387,-121.983
37.385,-121.975
37.384,-121.972
37.384,-121.970
37.383,-121.969
37.383,-121.968
37.381,-121.959
37.380,-121.959
37.379,-121.955
37.379,-121.954
37.379,-121.951
37.378,-121.946
37.377,-121.942
37.377,-121.941
37.376,-121.940
37.376,-121.939
37.375,-121.936
37.375,-121.934
37.375,-121.933
37.375,-121.933
37.375,-121.932
37.374,-121.931
37.374,-121.930
37.374,-121.929
37.374,-121.929
37.373,-121.928
37.373,-121.928
37.373,-121.928
37.372,-121.928
37.372,-121.927
37.371,-121.927
37.371,-121.927
37.370,-121.927
37.370,-121.927
37.370,-121.926
37.370,-121.926
37.369,-121.926
37.369,-121.926
37.369,-121.925
37.369,-121.925
37.368,-121.925
37.368,-121.924
37.368,-121.924
37.368,-121.924
37.366,-121.921
37.366,-121.921
37.365,-121.920
37.365,-121.920
37.365,-121.919
37.364,-121.919
37.364,-121.919
37.364,-121.918
37.360,-121.916
37.358,-121.914
37.356,-121.913
37.355,-121.912
37.354,-121.912
37.354,-121.911
37.353,-121.911
37.351,-121.909
37.350,-121.909
37.350,-121.909
37.349,-121.909
37.349,-121.908
37.349,-121.908
37.348,-121.907
37.348,-121.907
37.348,-121.907
37.347,-121.906
37.347,-121.905
37.347,-121.904
37.346,-121.904
37.346,-121.903
37.345,-121.903
37.345,-121.903
37.345,-121.903
37.345,-121.902
37.344,-121.902
37.343,-121.902
37.342,-121.901
37.342,-121.901
37.342,-121.901
37.341,-121.900
37.341,-121.900
37.340,-121.899
37.339,-121.899
37.339,-121.899
37.338,-121.899
37.338,-121.899
37.338,-121.899
37.338,-121.899
37.338,-121.899
37.337,-121.899
37.337,-121.899
37.337,-121.899
37.337,-121.899
37.336,-121.899
37.336,-121.898
37.337,-121.898
37.337,-121.897
37.337,-121.896
37.337,-121.896
37.338,-121.896
37.338,-121.895
37.338,-121.895
37.338,-121.894
37.339,-121.893
37.339,-121.893
37.339,-121.892
37.340,-121.892
37.340,-121.891
37.340,-121.891
37.340,-121.891
37.340,-121.890
37.341,-121.890
37.341,-121.890
37.341,-121.889
37.341,-121.889
37.340,-121.888
37.340,-121.888
37.340,-121.887
37.339,-121.887
37.339,-121.887
37.338,-121.886
37.338,-121.886
